GameID,tournamentID,tournamentName,locationName,Country,TournamentPlayers,created_at,userId,armyId,playerId,armyName,opponentId,opponentArmyId,opponentArmy,gameNum,gameResult,gamePoints,tournamentResult
30,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,uOmDO9mLcX,iZGEmAny5r,MYTL-G91C-V268,Exaction Squad,J27JK198WK,O68BVNHb2J,Legionary,2,2,18,10
27,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,uOmDO9mLcX,iZGEmAny5r,MYTL-G91C-V268,Exaction Squad,L5P78ERAV2,HTyPzmoxpg,Wyrmblade,3,0,10,10
4,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,uOmDO9mLcX,iZGEmAny5r,MYTL-G91C-V268,Exaction Squad,FC6M2HNVB8,LT7h2egMXA,Pathfinders,4,0,14,10
31,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,uOmDO9mLcX,iZGEmAny5r,MYTL-G91C-V268,Exaction Squad,E7CHC4GTPH,KW8kBVQRzg,Intercession,5,2,17,10
1,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,9HD85AYUE6,iZGEmAny5r,8RTJ-K1U8-A3EG,Novitiates,FC6M2HNVB8,LT7h2egMXA,Pathfinders,1,0,12,9
32,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,9HD85AYUE6,iZGEmAny5r,8RTJ-K1U8-A3EG,Novitiates,K5AVJTW2HQ,udcWHTxEOX,Gellerpox Infected,2,2,14,9
33,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,9HD85AYUE6,iZGEmAny5r,8RTJ-K1U8-A3EG,Novitiates,PW982LR700,Unknown Army ID,Unknown Army,3,0,16,9
34,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,9HD85AYUE6,iZGEmAny5r,8RTJ-K1U8-A3EG,Novitiates,HHJ76PED1X,a05DEJEFHV,Hand of the Archon,4,2,21,9
35,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,9HD85AYUE6,iZGEmAny5r,8RTJ-K1U8-A3EG,Novitiates,J27JK198WK,O68BVNHb2J,Legionary,5,2,23,9
36,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,16DLYTX7XH,7MZmTkjtvN,9YMP-AX8K-HWL5,Veteran Guardsmen,J27JK198WK,O68BVNHb2J,Legionary,1,2,21,7
37,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,16DLYTX7XH,7MZmTkjtvN,9YMP-AX8K-HWL5,Veteran Guardsmen,PW982LR700,Unknown Army ID,Unknown Army,2,2,23,7
3,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,16DLYTX7XH,7MZmTkjtvN,9YMP-AX8K-HWL5,Veteran Guardsmen,FC6M2HNVB8,LT7h2egMXA,Pathfinders,3,0,15,7
28,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,16DLYTX7XH,7MZmTkjtvN,9YMP-AX8K-HWL5,Veteran Guardsmen,L5P78ERAV2,HTyPzmoxpg,Wyrmblade,4,2,20,7
15,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,16DLYTX7XH,7MZmTkjtvN,9YMP-AX8K-HWL5,Veteran Guardsmen,PR741VMF4W,g33HjqCsH4,Warp Coven,5,0,11,7
38,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,0qDv3IW6Zp,HiiZAf9oBt,DWJ0-JDPT-G811,Fellgor Ravagers,U2XL7aEYvj,qcqbbnVVZB,Kasrkin,1,2,18,11
39,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,0qDv3IW6Zp,HiiZAf9oBt,DWJ0-JDPT-G811,Fellgor Ravagers,HCGL2KEWQN,pU36RuQWCD,Blooded,2,2,12,11
18,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,0qDv3IW6Zp,HiiZAf9oBt,DWJ0-JDPT-G811,Fellgor Ravagers,C1N48VV99K,O68BVNHb2J,Legionary,3,0,16,11
9,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,0qDv3IW6Zp,HiiZAf9oBt,DWJ0-JDPT-G811,Fellgor Ravagers,VVXY1AVAXH,oIGBgz0rWT,Kommandos,4,0,13,11
40,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,0qDv3IW6Zp,HiiZAf9oBt,DWJ0-JDPT-G811,Fellgor Ravagers,5HM4HU74UX,KW8kBVQRzg,Intercession,5,2,17,11
11,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PW982LR700,Unknown Army ID,Y0Y8-AUN7-PMWD,,PR741VMF4W,g33HjqCsH4,Warp Coven,1,2,19,8
37,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PW982LR700,Unknown Army ID,Y0Y8-AUN7-PMWD,,16DLYTX7XH,7MZmTkjtvN,Veteran Guardsmen,2,0,12,8
33,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PW982LR700,Unknown Army ID,Y0Y8-AUN7-PMWD,,9HD85AYUE6,iZGEmAny5r,Novitiates,3,2,19,8
23,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PW982LR700,Unknown Army ID,Y0Y8-AUN7-PMWD,,V6B066PK5A,O68BVNHb2J,Legionary,4,0,16,8
41,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,PW982LR700,Unknown Army ID,Y0Y8-AUN7-PMWD,,P5K046KGQH,a05DEJEFHV,Hand of the Archon,5,2,21,8
42,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VDNFHWRH0R,y9bh89ACze,RN2W-F11T-21NC,Hearthkyn Salvagers,HHJ76PED1X,a05DEJEFHV,Hand of the Archon,1,2,18,14
12,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VDNFHWRH0R,y9bh89ACze,RN2W-F11T-21NC,Hearthkyn Salvagers,PR741VMF4W,g33HjqCsH4,Warp Coven,2,0,12,14
43,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VDNFHWRH0R,y9bh89ACze,RN2W-F11T-21NC,Hearthkyn Salvagers,P5K046KGQH,a05DEJEFHV,Hand of the Archon,3,0,15,14
44,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VDNFHWRH0R,y9bh89ACze,RN2W-F11T-21NC,Hearthkyn Salvagers,KYQ6T8YVDM,oIGBgz0rWT,Kommandos,4,2,20,14
24,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,VDNFHWRH0R,y9bh89ACze,RN2W-F11T-21NC,Hearthkyn Salvagers,V6B066PK5A,O68BVNHb2J,Legionary,5,0,11,14
45,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HCGL2KEWQN,pU36RuQWCD,GXCB-M9E1-UMY2,Blooded,5HM4HU74UX,KW8kBVQRzg,Intercession,1,0,10,17
39,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HCGL2KEWQN,pU36RuQWCD,GXCB-M9E1-UMY2,Blooded,0qDv3IW6Zp,HiiZAf9oBt,Fellgor Ravagers,2,0,10,17
46,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HCGL2KEWQN,pU36RuQWCD,GXCB-M9E1-UMY2,Blooded,yfs23dvEWL,qCkz7A5Npv,Inquisitorial Agents,3,2,19,17
47,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HCGL2KEWQN,pU36RuQWCD,GXCB-M9E1-UMY2,Blooded,U2XL7aEYvj,qcqbbnVVZB,Kasrkin,4,2,18,17
48,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HCGL2KEWQN,pU36RuQWCD,GXCB-M9E1-UMY2,Blooded,RHN4YWCT94,KW8kBVQRzg,Intercession,5,0,14,17
20,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,E7CHC4GTPH,KW8kBVQRzg,GBN1-QVLR-NMHC,Intercession Squad,V6B066PK5A,O68BVNHb2J,Legionary,1,0,10,12
7,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,E7CHC4GTPH,KW8kBVQRzg,GBN1-QVLR-NMHC,Intercession Squad,VVXY1AVAXH,oIGBgz0rWT,Kommandos,2,0,14,12
49,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,E7CHC4GTPH,KW8kBVQRzg,GBN1-QVLR-NMHC,Intercession Squad,K5AVJTW2HQ,udcWHTxEOX,Gellerpox Infected,3,2,24,12
50,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,E7CHC4GTPH,KW8kBVQRzg,GBN1-QVLR-NMHC,Intercession Squad,RHN4YWCT94,KW8kBVQRzg,Intercession,4,2,17,12
31,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,E7CHC4GTPH,KW8kBVQRzg,GBN1-QVLR-NMHC,Intercession Squad,uOmDO9mLcX,iZGEmAny5r,Novitiates,5,0,16,12
51,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,KYQ6T8YVDM,oIGBgz0rWT,100V-P6JK-790R,Ork Kommandos,DD3DF1EAK3,HTyPzmoxpg,Wyrmblade,1,2,18,15
26,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,KYQ6T8YVDM,oIGBgz0rWT,100V-P6JK-790R,Ork Kommandos,L5P78ERAV2,HTyPzmoxpg,Wyrmblade,2,0,7,15
22,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,KYQ6T8YVDM,oIGBgz0rWT,100V-P6JK-790R,Ork Kommandos,V6B066PK5A,O68BVNHb2J,Legionary,3,0,14,15
44,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,KYQ6T8YVDM,oIGBgz0rWT,100V-P6JK-790R,Ork Kommandos,VDNFHWRH0R,y9bh89ACze,Hearthkyn Salvagers,4,0,17,15
52,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,KYQ6T8YVDM,oIGBgz0rWT,100V-P6JK-790R,Ork Kommandos,HHJ76PED1X,a05DEJEFHV,Hand of the Archon,5,2,20,15
16,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,RHN4YWCT94,KW8kBVQRzg,HRRB-6BNT-2MCA,Intercession,C1N48VV99K,O68BVNHb2J,Legionary,1,0,8,13
53,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,RHN4YWCT94,KW8kBVQRzg,HRRB-6BNT-2MCA,Intercession,5HM4HU74UX,KW8kBVQRzg,Intercession,2,0,12,13
54,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,RHN4YWCT94,KW8kBVQRzg,HRRB-6BNT-2MCA,Intercession,DD3DF1EAK3,HTyPzmoxpg,Wyrmblade,3,2,19,13
50,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,RHN4YWCT94,KW8kBVQRzg,HRRB-6BNT-2MCA,Intercession,E7CHC4GTPH,KW8kBVQRzg,Intercession,4,0,16,13
48,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,RHN4YWCT94,KW8kBVQRzg,HRRB-6BNT-2MCA,Intercession,HCGL2KEWQN,pU36RuQWCD,Blooded,5,2,22,13
45,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,5HM4HU74UX,KW8kBVQRzg,U11A-BRTQ-BYB7,Intercession,HCGL2KEWQN,pU36RuQWCD,Blooded,1,2,12,19
53,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,5HM4HU74UX,KW8kBVQRzg,U11A-BRTQ-BYB7,Intercession,RHN4YWCT94,KW8kBVQRzg,Intercession,2,2,15,19
8,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,5HM4HU74UX,KW8kBVQRzg,U11A-BRTQ-BYB7,Intercession,VVXY1AVAXH,oIGBgz0rWT,Kommandos,3,0,8,19
19,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,5HM4HU74UX,KW8kBVQRzg,U11A-BRTQ-BYB7,Intercession,C1N48VV99K,O68BVNHb2J,Legionary,4,0,9,19
40,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,5HM4HU74UX,KW8kBVQRzg,U11A-BRTQ-BYB7,Intercession,0qDv3IW6Zp,HiiZAf9oBt,Fellgor Ravagers,5,0,15,19
36,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,J27JK198WK,O68BVNHb2J,5A2M-MC8M-6T5P,Legionary,16DLYTX7XH,7MZmTkjtvN,Veteran Guardsmen,1,0,14,18
30,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,J27JK198WK,O68BVNHb2J,5A2M-MC8M-6T5P,Legionary,uOmDO9mLcX,iZGEmAny5r,Novitiates,2,0,15,18
55,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,J27JK198WK,O68BVNHb2J,5A2M-MC8M-6T5P,Legionary,U2XL7aEYvj,qcqbbnVVZB,Kasrkin,3,2,11,18
56,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,J27JK198WK,O68BVNHb2J,5A2M-MC8M-6T5P,Legionary,yfs23dvEWL,qCkz7A5Npv,Inquisitorial Agents,4,2,17,18
35,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,J27JK198WK,O68BVNHb2J,5A2M-MC8M-6T5P,Legionary,9HD85AYUE6,iZGEmAny5r,Novitiates,5,0,10,18
29,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,P5K046KGQH,a05DEJEFHV,FKUE-6668-A1A5,Hand of the Archon,uOmDO9mLcX,iZGEmAny5r,Novitiates,1,0,12,16
57,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,P5K046KGQH,a05DEJEFHV,FKUE-6668-A1A5,Hand of the Archon,U2XL7aEYvj,qcqbbnVVZB,Kasrkin,2,2,20,16
43,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,P5K046KGQH,a05DEJEFHV,FKUE-6668-A1A5,Hand of the Archon,VDNFHWRH0R,y9bh89ACze,Hearthkyn Salvagers,3,2,16,16
14,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,P5K046KGQH,a05DEJEFHV,FKUE-6668-A1A5,Hand of the Archon,PR741VMF4W,g33HjqCsH4,Warp Coven,4,0,11,16
41,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,P5K046KGQH,a05DEJEFHV,FKUE-6668-A1A5,Hand of the Archon,PW982LR700,Unknown Army ID,Unknown Army,5,0,13,16
42,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HHJ76PED1X,a05DEJEFHV,60JN-4R7L-4WKP,Hand of the Archon,VDNFHWRH0R,y9bh89ACze,Hearthkyn Salvagers,1,0,15,20
21,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HHJ76PED1X,a05DEJEFHV,60JN-4R7L-4WKP,Hand of the Archon,V6B066PK5A,O68BVNHb2J,Legionary,2,2,14,20
13,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HHJ76PED1X,a05DEJEFHV,60JN-4R7L-4WKP,Hand of the Archon,PR741VMF4W,g33HjqCsH4,Warp Coven,3,0,15,20
34,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HHJ76PED1X,a05DEJEFHV,60JN-4R7L-4WKP,Hand of the Archon,9HD85AYUE6,iZGEmAny5r,Novitiates,4,0,13,20
52,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,HHJ76PED1X,a05DEJEFHV,60JN-4R7L-4WKP,Hand of the Archon,KYQ6T8YVDM,oIGBgz0rWT,Kommandos,5,0,15,20
38,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,U2XL7aEYvj,qcqbbnVVZB,7QWD-7N7P-GACK,Kasrkin,0qDv3IW6Zp,HiiZAf9oBt,Fellgor Ravagers,1,0,12,21
57,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,U2XL7aEYvj,qcqbbnVVZB,7QWD-7N7P-GACK,Kasrkin,P5K046KGQH,a05DEJEFHV,Hand of the Archon,2,0,14,21
55,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,U2XL7aEYvj,qcqbbnVVZB,7QWD-7N7P-GACK,Kasrkin,J27JK198WK,O68BVNHb2J,Legionary,3,0,9,21
47,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,U2XL7aEYvj,qcqbbnVVZB,7QWD-7N7P-GACK,Kasrkin,HCGL2KEWQN,pU36RuQWCD,Blooded,4,0,14,21
58,urvDdD2QFh,G.A. League Season 2,Copenhagen,Danmark,24,2023-07-27T08:24:53.726Z,U2XL7aEYvj,qcqbbnVVZB,7QWD-7N7P-GACK,Kasrkin,K5AVJTW2HQ,udcWHTxEOX,Gellerpox Infected,5,2,18,21
